relative Zeit	AI0	AI1
20,16	0,5144	-0,4622
20,18	0,5141	-0,4628
20,20	0,5134	-0,4625
20,22	0,5141	-0,4625
20,24	0,5138	-0,4622
20,26	0,5141	-0,4625
20,28	0,5141	-0,4619
20,30	0,5141	-0,4619
20,32	0,5144	-0,4619
20,34	0,5141	-0,4619
20,36	0,5138	-0,4625
20,38	0,5141	-0,4625
20,40	0,5138	-0,4622
20,42	0,5144	-0,4622
20,44	0,5141	-0,4625
20,46	0,5134	-0,4625
